# ds 軸 ID 網羅 + 3 段確認証跡 (生成: 2026-05-02T18:14:35+09:00)
# 走査: docs/04_概要設計, パターン: DS-[A-Z]+-[A-Z]+-[0-9]+
# 列挙 ID 数: 1416
# 走査範囲: docs / impl(src infra deploy tools examples) / tests(tests + src 内 test ファイル)
# SHIP_STATUS 動作証跡: docs/SHIP_STATUS.md 内で検証済 / 実機 / round-trip 等のキーワード共起
# 判定列は空欄。Claude は分類材料のみ提示、PASS / PARTIAL / FAIL の判定は人間が AUDIT.md で行う

id | docs_refs | impl_refs | test_refs | ship_verified_kw | classification_material
---|----------:|----------:|----------:|------------------|---|---
DS-BUS-AI-001 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-AI-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-AI-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-AI-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-AI-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-AI-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-AI-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ANA-001 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ANA-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ANA-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ANA-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ANA-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ANA-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-BIL-001 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-BIL-002 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-BIL-003 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-BIL-004 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-BIL-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-BIL-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-BIL-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-001 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-002 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-008 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-COST-009 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-GOV-001 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-GOV-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-GOV-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-GOV-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-GOV-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-GOV-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-GOV-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LGL-001 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LGL-002 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LGL-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LGL-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LGL-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LGL-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LGL-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LIC-001 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LIC-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LIC-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LIC-004 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LIC-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LIC-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-LIC-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ONB-001 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ONB-002 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ONB-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ONB-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ONB-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-ONB-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SC-001 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SC-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SC-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SC-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SC-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SC-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SC-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SUS-001 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SUS-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SUS-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SUS-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SUS-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SUS-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-SUS-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-TRN-001 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-TRN-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-TRN-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-TRN-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-TRN-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-TRN-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-UX-001 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-UX-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-UX-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-UX-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-BUS-UX-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-001 | 9 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-002 | 4 | 2 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
DS-CF-AUD-003 | 4 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-004 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-005 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-006 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-008 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-009 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-010 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-011 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUD-012 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-001 | 11 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-002 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-003 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-005 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-008 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-009 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-010 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTH-011 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-001 | 9 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-002 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-003 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-004 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-008 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-009 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-AUTHZ-010 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-001 | 4 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-003 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-008 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-009 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-CRYPT-010 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-001 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-002 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-006 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-008 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-009 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-ERR-010 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-001 | 10 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-002 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-003 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-004 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-005 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-006 | 4 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-007 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-008 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-009 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-010 | 1 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-011 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-012 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-013 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-014 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-FM-015 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-LOG-001 | 10 | 0 | 0 | 0 | docs-only (impl 不在)
DS-CF-LOG-002 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
