# imp 軸 ID 網羅 + 3 段確認証跡 (生成: 2026-05-02T16:46:01+09:00)
# 走査: docs/05_実装, パターン: IMP-[A-Z]+-[A-Z]+-[0-9]+
# 列挙 ID 数: 718
# 走査範囲: docs / impl(src infra deploy tools examples) / tests(tests + src 内 test ファイル)
# SHIP_STATUS 動作証跡: docs/SHIP_STATUS.md 内で検証済 / 実機 / round-trip 等のキーワード共起
# 判定列は空欄。Claude は分類材料のみ提示、PASS / PARTIAL / FAIL の判定は人間が AUDIT.md で行う

id | docs_refs | impl_refs | test_refs | ship_verified_kw | classification_material
---|----------:|----------:|----------:|------------------|---|---
IMP-BUILD-CS-060 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-061 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-062 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-063 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-064 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-065 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-066 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-067 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CS-068 | 5 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-010 | 5 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-011 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-012 | 4 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-013 | 4 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-014 | 4 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-015 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-016 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-017 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-CW-018 | 5 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-DS-040 | 6 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-DS-041 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
IMP-BUILD-DS-042 | 2 | 0 | 0 | 0 | docs-only (impl 不在)
