# nfr 軸 ID 網羅 + 3 段確認証跡 (生成: 2026-05-02T17:09:19+09:00)
# 走査: docs/03_要件定義, パターン: NFR-[A-I]-[A-Z]+-[0-9]+
# 列挙 ID 数: 155
# 走査範囲: docs / impl(src infra deploy tools examples) / tests(tests + src 内 test ファイル)
# SHIP_STATUS 動作証跡: docs/SHIP_STATUS.md 内で検証済 / 実機 / round-trip 等のキーワード共起
# 判定列は空欄。Claude は分類材料のみ提示、PASS / PARTIAL / FAIL の判定は人間が AUDIT.md で行う

id | docs_refs | impl_refs | test_refs | ship_verified_kw | classification_material
---|----------:|----------:|----------:|------------------|---|---
NFR-A-CONT-001 | 53 | 0 | 0 | 2 | docs-only (impl 不在)
NFR-A-CONT-002 | 20 | 0 | 0 | 1 | docs-only (impl 不在)
NFR-A-CONT-003 | 18 | 0 | 0 | 2 | docs-only (impl 不在)
NFR-A-CONT-004 | 4 | 0 | 0 | 2 | docs-only (impl 不在)
NFR-A-CONT-005 | 3 | 0 | 0 | 2 | docs-only (impl 不在)
NFR-A-CONT-006 | 4 | 1 | 0 | 1 | 3-stage-candidate (docs+impl+evidence)
NFR-A-DR-001 | 16 | 0 | 0 | 0 | docs-only (impl 不在)
NFR-A-DR-002 | 7 | 0 | 0 | 0 | docs-only (impl 不在)
NFR-A-DR-003 | 4 | 0 | 0 | 0 | docs-only (impl 不在)
NFR-A-DR-004 | 3 | 0 | 0 | 0 | docs-only (impl 不在)
NFR-A-FT-001 | 38 | 1 | 0 | 2 | 3-stage-candidate (docs+impl+evidence)
NFR-A-FT-002 | 9 | 0 | 0 | 2 | docs-only (impl 不在)
NFR-A-FT-003 | 14 | 0 | 0 | 2 | docs-only (impl 不在)
NFR-A-FT-004 | 4 | 0 | 0 | 2 | docs-only (impl 不在)
NFR-A-REC-001 | 31 | 0 | 0 | 0 | docs-only (impl 不在)
NFR-A-REC-002 | 37 | 0 | 0 | 0 | docs-only (impl 不在)
NFR-B-PERF-001 | 59 | 0 | 0 | 1 | docs-only (impl 不在)
NFR-B-PERF-002 | 22 | 0 | 0 | 4 | docs-only (impl 不在)
NFR-B-PERF-003 | 15 | 0 | 0 | 1 | docs-only (impl 不在)
NFR-B-PERF-004 | 25 | 0 | 0 | 4 | docs-only (impl 不在)
NFR-B-PERF-005 | 14 | 0 | 0 | 1 | docs-only (impl 不在)
