NAME                   STATUS   AGE
argo-rollouts          Active   43h
argocd                 Active   43h
backstage              Active   43h
calico-system          Active   43h
cert-manager           Active   43h
cnpg-system            Active   43h
dapr-system            Active   43h
default                Active   43h
envoy-gateway-system   Active   43h
flagd                  Active   43h
gitops                 Active   43h
ingress-nginx          Active   43h
istio-system           Active   43h
kafka                  Active   43h
keda                   Active   43h
keycloak               Active   43h
kube-node-lease        Active   43h
kube-public            Active   43h
kube-system            Active   43h
kube-system-extras     Active   43h
kyverno                Active   43h
local-path-storage     Active   43h
metallb-system         Active   43h
minio                  Active   43h
observability          Active   43h
openbao                Active   43h
registry               Active   43h
spire-server           Active   43h
spire-system           Active   43h
temporal               Active   43h
tier1-facade           Active   43h
tier2-services         Active   43h
tier3-bff              Active   43h
tigera-operator        Active   43h
valkey                 Active   43h
