# ds trace 監査 (生成: 2026-05-02T14:42:55+09:00)
# ID 数: 1416
# 動機: grep ベース coverage が「ID 直引用しない」性質で低スコアになる問題への補正
# 列定義:
#   direct        = src/infra/deploy/tools/examples で ID 直接 grep ヒット (coverage と重複)
#   verify        = infra/security/, infra/observability/, deploy/rollouts/, ops/, tests/{contract,e2e,fuzz} 内の ID 引用
#   cocited_fr    = ID 言及 docs に同居する FR-T1-* のうち、impl_refs>0 の件数
#   cocited_adr   = ID 言及 docs に同居する ADR-* のうち、impl_refs>0 の件数
#   trace_status  = どの経路で reach できるかの集約

id | direct | verify | cocited_fr | cocited_adr | trace_status
---|-------:|-------:|-----------:|------------:|---
DS-BUS-AI-001 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
DS-BUS-AI-002 | 0 | 0 | 0 | 0 | unreached
DS-BUS-AI-003 | 0 | 0 | 0 | 0 | unreached
DS-BUS-AI-004 | 0 | 0 | 0 | 0 | unreached
DS-BUS-AI-005 | 0 | 0 | 0 | 0 | unreached
DS-BUS-AI-006 | 0 | 0 | 0 | 0 | unreached
DS-BUS-AI-007 | 0 | 0 | 0 | 0 | unreached
DS-BUS-ANA-001 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
DS-BUS-ANA-002 | 0 | 0 | 0 | 0 | unreached
DS-BUS-ANA-003 | 0 | 0 | 0 | 0 | unreached
DS-BUS-ANA-004 | 0 | 0 | 0 | 0 | unreached
DS-BUS-ANA-005 | 0 | 0 | 0 | 0 | unreached
DS-BUS-ANA-006 | 0 | 0 | 0 | 0 | unreached
DS-BUS-BIL-001 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
DS-BUS-BIL-002 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
DS-BUS-BIL-003 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
DS-BUS-BIL-004 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
DS-BUS-BIL-005 | 0 | 0 | 0 | 0 | unreached
DS-BUS-BIL-006 | 0 | 0 | 0 | 0 | unreached
DS-BUS-BIL-007 | 0 | 0 | 0 | 0 | unreached
DS-BUS-COST-001 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
DS-BUS-COST-002 | 0 | 0 | 2 | 5 | reach(via-fr+via-adr)
DS-BUS-COST-003 | 0 | 0 | 0 | 0 | unreached
DS-BUS-COST-004 | 0 | 0 | 0 | 0 | unreached
DS-BUS-COST-005 | 0 | 0 | 0 | 0 | unreached
DS-BUS-COST-006 | 0 | 0 | 0 | 0 | unreached
DS-BUS-COST-007 | 0 | 0 | 0 | 0 | unreached
DS-BUS-COST-008 | 0 | 0 | 0 | 0 | unreached
DS-BUS-COST-009 | 0 | 0 | 0 | 0 | unreached
DS-BUS-GOV-001 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
