# imp trace 監査 (生成: 2026-05-02T16:52:53+09:00)
# ID 数: 718
# 動機: grep ベース coverage が「ID 直引用しない」性質で低スコアになる問題への補正
# 列定義:
#   direct        = src/infra/deploy/tools/examples で ID 直接 grep ヒット (coverage と重複)
#   verify        = infra/security/, infra/observability/, deploy/rollouts/, ops/, tests/{contract,e2e,fuzz} 内の ID 引用
#   cocited_fr    = ID 言及 docs に同居する FR-T1-* のうち、impl_refs>0 の件数
#   cocited_adr   = ID 言及 docs に同居する ADR-* のうち、impl_refs>0 の件数
#   trace_status  = どの経路で reach できるかの集約

id | direct | verify | cocited_fr | cocited_adr | trace_status
---|-------:|-------:|-----------:|------------:|---
IMP-BUILD-CS-060 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CS-061 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-CS-062 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-CS-063 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-CS-064 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-CS-065 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-CS-066 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-CS-067 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-CS-068 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CW-010 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CW-011 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CW-012 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CW-013 | 0 | 0 | 0 | 9 | reach(via-adr)
IMP-BUILD-CW-014 | 0 | 0 | 0 | 9 | reach(via-adr)
IMP-BUILD-CW-015 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CW-016 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CW-017 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-CW-018 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-DS-040 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-DS-041 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-DS-042 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-DS-043 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-DS-044 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-DS-045 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-DS-046 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-DS-047 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-DS-048 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-GM-020 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-GM-021 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-GM-022 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-GM-023 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-GM-024 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-GM-025 | 0 | 0 | 0 | 8 | reach(via-adr)
IMP-BUILD-GM-026 | 3 | 0 | 0 | 30 | reach(direct+via-adr)
IMP-BUILD-GM-027 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-GM-028 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-PF-050 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-PF-051 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-PF-052 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-PF-053 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-PF-054 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-PF-055 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-PF-056 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-PF-057 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-PF-058 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-POL-001 | 1 | 0 | 0 | 8 | reach(direct+via-adr)
IMP-BUILD-POL-002 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-POL-003 | 0 | 0 | 0 | 8 | reach(via-adr)
IMP-BUILD-POL-004 | 0 | 0 | 0 | 9 | reach(via-adr)
IMP-BUILD-POL-005 | 0 | 0 | 0 | 8 | reach(via-adr)
IMP-BUILD-POL-006 | 0 | 0 | 0 | 9 | reach(via-adr)
IMP-BUILD-POL-007 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-POL-008 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-POL-009 | 0 | 0 | 0 | 2 | reach(via-adr)
IMP-BUILD-TP-030 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-BUILD-TP-031 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-TP-032 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-TP-033 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-TP-034 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-TP-035 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-TP-036 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-TP-037 | 0 | 0 | 0 | 7 | reach(via-adr)
IMP-BUILD-TP-038 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-CI-BP-070 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-CI-BP-071 | 0 | 0 | 0 | 30 | reach(via-adr)
IMP-CI-BP-072 | 0 | 0 | 0 | 30 | reach(via-adr)
