# nfr trace 監査 (生成: 2026-05-02T18:33:14+09:00)
# ID 数: 155
# 動機: grep ベース coverage が「ID 直引用しない」性質で低スコアになる問題への補正
# 列定義:
#   direct        = src/infra/deploy/tools/examples で ID 直接 grep ヒット (coverage と重複)
#   verify        = infra/security/, infra/observability/, deploy/rollouts/, ops/, tests/{contract,e2e,fuzz} 内の ID 引用
#   cocited_fr    = ID 言及 docs に同居する FR-T1-* のうち、impl_refs>0 の件数
#   cocited_adr   = ID 言及 docs に同居する ADR-* のうち、impl_refs>0 の件数
#   trace_status  = どの経路で reach できるかの集約

id | direct | verify | cocited_fr | cocited_adr | trace_status
---|-------:|-------:|-----------:|------------:|---
NFR-A-CONT-001 | 0 | 6 | 32 | 38 | reach(verify+via-fr+via-adr)
NFR-A-CONT-002 | 0 | 1 | 28 | 39 | reach(verify+via-fr+via-adr)
NFR-A-CONT-003 | 0 | 0 | 34 | 24 | reach(via-fr+via-adr)
NFR-A-CONT-004 | 0 | 0 | 13 | 1 | reach(via-fr+via-adr)
NFR-A-CONT-005 | 0 | 0 | 2 | 1 | reach(via-fr+via-adr)
NFR-A-CONT-006 | 1 | 0 | 4 | 39 | reach(direct+via-fr+via-adr)
NFR-A-DR-001 | 0 | 0 | 27 | 39 | reach(via-fr+via-adr)
NFR-A-DR-002 | 0 | 0 | 22 | 35 | reach(via-fr+via-adr)
NFR-A-DR-003 | 0 | 0 | 15 | 24 | reach(via-fr+via-adr)
NFR-A-DR-004 | 0 | 0 | 0 | 4 | reach(via-adr)
NFR-A-FT-001 | 1 | 0 | 35 | 39 | reach(direct+via-fr+via-adr)
NFR-A-FT-002 | 0 | 0 | 36 | 39 | reach(via-fr+via-adr)
NFR-A-FT-003 | 0 | 0 | 34 | 39 | reach(via-fr+via-adr)
NFR-A-FT-004 | 0 | 0 | 3 | 5 | reach(via-fr+via-adr)
NFR-A-REC-001 | 0 | 1 | 28 | 24 | reach(verify+via-fr+via-adr)
NFR-A-REC-002 | 0 | 15 | 20 | 21 | reach(verify+via-fr+via-adr)
NFR-B-PERF-001 | 0 | 1 | 33 | 43 | reach(verify+via-fr+via-adr)
NFR-B-PERF-002 | 0 | 0 | 27 | 43 | reach(via-fr+via-adr)
NFR-B-PERF-003 | 0 | 0 | 26 | 39 | reach(via-fr+via-adr)
NFR-B-PERF-004 | 0 | 0 | 35 | 24 | reach(via-fr+via-adr)
NFR-B-PERF-005 | 0 | 0 | 15 | 39 | reach(via-fr+via-adr)
NFR-B-PERF-006 | 5 | 0 | 35 | 26 | reach(direct+via-fr+via-adr)
NFR-B-PERF-007 | 0 | 0 | 23 | 12 | reach(via-fr+via-adr)
NFR-B-QA-001 | 0 | 0 | 15 | 5 | reach(via-fr+via-adr)
NFR-B-QA-002 | 0 | 0 | 0 | 3 | reach(via-adr)
NFR-B-RES-001 | 0 | 0 | 32 | 19 | reach(via-fr+via-adr)
NFR-B-RES-002 | 0 | 0 | 10 | 12 | reach(via-fr+via-adr)
NFR-B-RES-003 | 0 | 0 | 28 | 2 | reach(via-fr+via-adr)
NFR-B-WL-001 | 0 | 0 | 21 | 35 | reach(via-fr+via-adr)
NFR-B-WL-002 | 0 | 0 | 0 | 2 | reach(via-adr)
NFR-C-ENV-001 | 0 | 0 | 1 | 2 | reach(via-fr+via-adr)
NFR-C-ENV-002 | 0 | 0 | 1 | 13 | reach(via-fr+via-adr)
NFR-C-IR-001 | 0 | 0 | 28 | 18 | reach(via-fr+via-adr)
NFR-C-IR-002 | 0 | 0 | 5 | 17 | reach(via-fr+via-adr)
NFR-C-MGMT-001 | 0 | 0 | 28 | 24 | reach(via-fr+via-adr)
NFR-C-MGMT-002 | 0 | 0 | 17 | 34 | reach(via-fr+via-adr)
NFR-C-MGMT-003 | 0 | 0 | 3 | 14 | reach(via-fr+via-adr)
NFR-C-MGMT-004 | 0 | 0 | 15 | 2 | reach(via-fr+via-adr)
NFR-C-MNT-001 | 0 | 0 | 15 | 35 | reach(via-fr+via-adr)
NFR-C-MNT-002 | 0 | 0 | 2 | 6 | reach(via-fr+via-adr)
NFR-C-MNT-003 | 0 | 0 | 0 | 12 | reach(via-adr)
NFR-C-NOP-001 | 0 | 1 | 34 | 42 | reach(verify+via-fr+via-adr)
NFR-C-NOP-002 | 0 | 0 | 25 | 29 | reach(via-fr+via-adr)
NFR-C-NOP-003 | 1 | 0 | 23 | 34 | reach(direct+via-fr+via-adr)
NFR-C-NOP-004 | 0 | 1 | 1 | 17 | reach(verify+via-fr+via-adr)
NFR-C-SUP-001 | 0 | 0 | 0 | 13 | reach(via-adr)
NFR-C-SUP-002 | 0 | 0 | 0 | 0 | unreached
NFR-C-SUP-003 | 0 | 0 | 0 | 0 | unreached
NFR-D-MTH-001 | 0 | 0 | 32 | 35 | reach(via-fr+via-adr)
NFR-D-MTH-002 | 0 | 0 | 22 | 36 | reach(via-fr+via-adr)
NFR-D-MTH-003 | 0 | 0 | 0 | 2 | reach(via-adr)
NFR-D-OBJ-001 | 0 | 0 | 31 | 8 | reach(via-fr+via-adr)
NFR-D-OBJ-002 | 0 | 0 | 12 | 8 | reach(via-fr+via-adr)
NFR-D-OBJ-003 | 0 | 0 | 31 | 24 | reach(via-fr+via-adr)
NFR-D-PLN-001 | 0 | 0 | 20 | 17 | reach(via-fr+via-adr)
NFR-D-PLN-002 | 0 | 0 | 12 | 8 | reach(via-fr+via-adr)
NFR-D-PLN-003 | 0 | 0 | 20 | 17 | reach(via-fr+via-adr)
NFR-D-TIM-001 | 0 | 0 | 12 | 8 | reach(via-fr+via-adr)
NFR-D-TIM-002 | 0 | 0 | 0 | 3 | reach(via-adr)
NFR-E-AC-001 | 5 | 3 | 34 | 37 | reach(direct+verify+via-fr+via-adr)
NFR-E-AC-002 | 3 | 1 | 24 | 43 | reach(direct+verify+via-fr+via-adr)
NFR-E-AC-003 | 58 | 2 | 32 | 43 | reach(direct+verify+via-fr+via-adr)
NFR-E-AC-004 | 0 | 2 | 18 | 39 | reach(verify+via-fr+via-adr)
NFR-E-AC-005 | 0 | 1 | 3 | 9 | reach(verify+via-fr+via-adr)
NFR-E-AV-001 | 0 | 0 | 13 | 12 | reach(via-fr+via-adr)
NFR-E-AV-002 | 0 | 0 | 2 | 7 | reach(via-fr+via-adr)
NFR-E-ENC-001 | 0 | 1 | 34 | 40 | reach(verify+via-fr+via-adr)
NFR-E-ENC-002 | 0 | 0 | 12 | 10 | reach(via-fr+via-adr)
NFR-E-ENC-003 | 0 | 1 | 17 | 12 | reach(verify+via-fr+via-adr)
NFR-E-IR-003 | 0 | 0 | 12 | 0 | reach(via-fr)
NFR-E-LIC-001 | 0 | 0 | 12 | 0 | reach(via-fr)
NFR-E-MON-001 | 3 | 0 | 26 | 30 | reach(direct+via-fr+via-adr)
NFR-E-MON-002 | 2 | 1 | 7 | 14 | reach(direct+verify+via-fr+via-adr)
NFR-E-MON-003 | 0 | 1 | 9 | 3 | reach(verify+via-fr+via-adr)
NFR-E-MON-004 | 2 | 0 | 5 | 12 | reach(direct+via-fr+via-adr)
NFR-E-NW-001 | 0 | 0 | 23 | 22 | reach(via-fr+via-adr)
NFR-E-NW-002 | 0 | 0 | 2 | 6 | reach(via-fr+via-adr)
NFR-E-NW-003 | 0 | 0 | 31 | 37 | reach(via-fr+via-adr)
NFR-E-NW-004 | 1 | 0 | 13 | 13 | reach(direct+via-fr+via-adr)
NFR-E-PRE-001 | 0 | 0 | 15 | 16 | reach(via-fr+via-adr)
NFR-E-RSK-001 | 0 | 0 | 23 | 13 | reach(via-fr+via-adr)
NFR-E-RSK-002 | 0 | 0 | 14 | 7 | reach(via-fr+via-adr)
NFR-E-SAFE-001 | 0 | 0 | 12 | 0 | reach(via-fr)
NFR-E-SIR-001 | 0 | 1 | 13 | 18 | reach(verify+via-fr+via-adr)
NFR-E-SIR-002 | 0 | 3 | 19 | 17 | reach(verify+via-fr+via-adr)
NFR-E-SIR-003 | 0 | 1 | 15 | 17 | reach(verify+via-fr+via-adr)
NFR-E-WEB-001 | 0 | 0 | 13 | 12 | reach(via-fr+via-adr)
NFR-E-WEB-002 | 0 | 0 | 2 | 3 | reach(via-fr+via-adr)
