# fr 軸 ID 網羅 + 3 段確認証跡 (生成: 2026-05-05T00:22:19+09:00)
# 走査: docs/03_要件定義, パターン: FR-T1-[A-Z]+-[0-9]+
# 列挙 ID 数: 49
# 走査範囲: docs / impl(src infra deploy tools examples) / tests(tests + src 内 test ファイル)
# SHIP_STATUS 動作証跡: docs/SHIP_STATUS.md 内で検証済 / 実機 / round-trip 等のキーワード共起
# 判定列は空欄。Claude は分類材料のみ提示、PASS / PARTIAL / FAIL の判定は人間が AUDIT.md で行う

id | docs_refs | impl_refs | test_refs | ship_verified_kw | classification_material
---|----------:|----------:|----------:|------------------|---|---
FR-T1-AUDIT-001 | 39 | 12 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-AUDIT-002 | 17 | 37 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-AUDIT-003 | 12 | 19 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-BINDING-001 | 20 | 8 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-BINDING-002 | 3 | 2 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-BINDING-003 | 5 | 3 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-BINDING-004 | 5 | 2 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-DECISION-001 | 25 | 6 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-DECISION-002 | 10 | 2 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-DECISION-003 | 12 | 4 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-DECISION-004 | 9 | 5 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-FEATURE-001 | 26 | 13 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-FEATURE-002 | 3 | 3 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-FEATURE-003 | 5 | 7 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-FEATURE-004 | 6 | 6 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-INVOKE-001 | 27 | 8 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-INVOKE-002 | 5 | 5 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-INVOKE-003 | 4 | 4 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-INVOKE-004 | 6 | 6 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-INVOKE-005 | 5 | 2 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-LOG-001 | 24 | 8 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-LOG-002 | 5 | 4 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-LOG-003 | 5 | 4 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-LOG-004 | 5 | 3 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-PII-001 | 32 | 6 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-PII-002 | 11 | 34 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-PUBSUB-001 | 30 | 20 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-PUBSUB-002 | 6 | 2 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-PUBSUB-003 | 7 | 3 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-PUBSUB-004 | 6 | 5 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-PUBSUB-005 | 6 | 2 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-SECRETS-001 | 23 | 32 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-SECRETS-002 | 12 | 39 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-SECRETS-003 | 7 | 37 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-SECRETS-004 | 9 | 18 | 2 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-STATE-001 | 32 | 7 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
FR-T1-STATE-002 | 6 | 1 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-STATE-003 | 7 | 6 | 1 | 0 | 3-stage-candidate (docs+impl+evidence)
FR-T1-STATE-004 | 3 | 1 | 0 | 0 | 2-stage (docs+impl, no test/ship evidence)
